Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,Solar PV,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
10,2.8,Current,Current,None,Improved,ASHP,No, 147.4 , 79.9 , 25.5 ,31.7,34.3
10,2.8,Current,Current,75%,Improved,ASHP,No, 133.6 , 49.4 , 23.0 ,38.2,40.7
10,2.8,Current,25%,None,Improved,ASHP,No, 143.7 , 82.4 , 24.9 ,33.5,36.0
10,2.8,Current,25%,75%,Improved,ASHP,No, 129.9 , 52.1 , 22.4 ,39.8,42.3
10,2.8,Improved,Current,None,Improved,ASHP,No, 146.5 , 78.0 , 25.3 ,32.2,34.8
10,2.8,Improved,Current,75%,Improved,ASHP,No, 132.5 , 47.4 , 22.9 ,38.6,41.2
10,2.8,Improved,25%,None,Improved,ASHP,No, 142.7 , 80.6 , 24.7 ,33.9,36.4
10,2.8,Improved,25%,75%,Improved,ASHP,No, 128.9 , 50.1 , 22.2 ,40.3,42.7
10,4,Current,Current,None,Improved,ASHP,No, 143.8 , 72.6 , 24.9 ,33.4,36.0
10,4,Current,Current,75%,Improved,ASHP,No, 129.7 , 41.4 , 22.4 ,40.0,42.5
10,4,Current,25%,None,Improved,ASHP,No, 140.0 , 74.9 , 24.2 ,35.2,37.6
10,4,Current,25%,75%,Improved,ASHP,No, 125.9 , 43.9 , 21.7 ,41.7,44.1
10,4,Improved,Current,None,Improved,ASHP,No, 142.9 , 70.6 , 24.7 ,33.8,36.4
10,4,Improved,Current,75%,Improved,ASHP,No, 128.7 , 39.4 , 22.2 ,40.4,42.9
10,4,Improved,25%,None,Improved,ASHP,No, 139.1 , 73.1 , 24.1 ,35.6,38.0
10,4,Improved,25%,75%,Improved,ASHP,No, 125.0 , 41.9 , 21.6 ,42.1,44.5
10,5.5,Current,Current,None,Improved,ASHP,No, 142.0 , 69.0 , 24.6 ,34.2,36.8
10,5.5,Current,Current,75%,Improved,ASHP,No, 127.7 , 37.5 , 22.0 ,40.8,43.3
10,5.5,Current,25%,None,Improved,ASHP,No, 138.1 , 71.1 , 23.9 ,36.0,38.5
10,5.5,Current,25%,75%,Improved,ASHP,No, 124.0 , 39.9 , 21.4 ,42.6,45.0
10,5.5,Improved,Current,None,Improved,ASHP,No, 141.0 , 66.9 , 24.4 ,34.7,37.2
10,5.5,Improved,Current,75%,Improved,ASHP,No, 126.8 , 35.5 , 21.8 ,41.3,43.8
10,5.5,Improved,25%,None,Improved,ASHP,No, 137.3 , 69.3 , 23.7 ,36.4,38.9
10,5.5,Improved,25%,75%,Improved,ASHP,No, 123.0 , 37.8 , 21.2 ,43.0,45.4
15,2.8,Current,Current,None,Improved,ASHP,No, 146.5 , 78.3 , 25.4 ,32.1,34.7
15,2.8,Current,Current,75%,Improved,ASHP,No, 132.5 , 47.5 , 22.9 ,38.6,41.2
15,2.8,Current,25%,None,Improved,ASHP,No, 142.7 , 80.5 , 24.7 ,33.9,36.4
15,2.8,Current,25%,75%,Improved,ASHP,No, 128.9 , 50.1 , 22.2 ,40.3,42.7
15,2.8,Improved,Current,None,Improved,ASHP,No, 145.6 , 76.4 , 25.2 ,32.6,35.2
15,2.8,Improved,Current,75%,Improved,ASHP,No, 131.6 , 45.5 , 22.7 ,39.1,41.6
15,2.8,Improved,25%,None,Improved,ASHP,No, 141.8 , 78.7 , 24.5 ,34.3,36.8
15,2.8,Improved,25%,75%,Improved,ASHP,No, 127.9 , 48.1 , 22.1 ,40.8,43.2
15,4,Current,Current,None,Improved,ASHP,No, 142.9 , 70.8 , 24.7 ,33.8,36.4
15,4,Current,Current,75%,Improved,ASHP,No, 128.7 , 39.5 , 22.2 ,40.4,42.9
15,4,Current,25%,None,Improved,ASHP,No, 139.1 , 73.1 , 24.1 ,35.6,38.0
15,4,Current,25%,75%,Improved,ASHP,No, 124.9 , 41.9 , 21.6 ,42.1,44.5
15,4,Improved,Current,None,Improved,ASHP,No, 141.9 , 68.9 , 24.5 ,34.3,36.8
15,4,Improved,Current,75%,Improved,ASHP,No, 127.7 , 37.5 , 22.0 ,40.9,43.3
15,4,Improved,25%,None,Improved,ASHP,No, 138.1 , 71.2 , 23.9 ,36.0,38.5
15,4,Improved,25%,75%,Improved,ASHP,No, 124.0 , 39.9 , 21.4 ,42.6,45.0
15,5.5,Current,Current,None,Improved,ASHP,No, 141.1 , 67.0 , 24.4 ,34.7,37.2
15,5.5,Current,Current,75%,Improved,ASHP,No, 126.8 , 35.6 , 21.8 ,41.3,43.8
15,5.5,Current,25%,None,Improved,ASHP,No, 137.3 , 69.4 , 23.8 ,36.4,38.9
15,5.5,Current,25%,75%,Improved,ASHP,No, 123.0 , 37.9 , 21.2 ,43.0,45.4
15,5.5,Improved,Current,None,Improved,ASHP,No, 140.0 , 65.3 , 24.2 ,35.2,37.7
15,5.5,Improved,Current,75%,Improved,ASHP,No, 125.7 , 33.6 , 21.7 ,41.8,44.2
15,5.5,Improved,25%,None,Improved,ASHP,No, 136.3 , 67.5 , 23.6 ,36.9,39.3
15,5.5,Improved,25%,75%,Improved,ASHP,No, 122.0 , 35.9 , 21.0 ,43.5,45.8
5,2.8,Current,Current,None,Current,Current,Yes, 214.1 , 100.9 , 38.5 ,0.9,0.8
5,2.8,Current,Current,75%,Current,Current,Yes, 181.2 , 65.6 , 32.2 ,16.1,17.0
5,2.8,Current,25%,None,Current,Current,Yes, 211.9 , 103.7 , 38.2 ,1.9,1.6
5,2.8,Current,25%,75%,Current,Current,Yes, 179.1 , 68.3 , 31.9 ,17.0,17.8
5,2.8,Improved,Current,None,Current,Current,Yes, 212.3 , 99.0 , 38.2 ,1.7,1.7
5,2.8,Improved,Current,75%,Current,Current,Yes, 179.3 , 63.6 , 31.9 ,16.9,18.0
5,2.8,Improved,25%,None,Current,Current,Yes, 210.0 , 101.7 , 37.9 ,2.7,2.6
5,2.8,Improved,25%,75%,Current,Current,Yes, 177.2 , 66.3 , 31.6 ,17.9,18.8
5,4,Current,Current,None,Current,Current,Yes, 206.7 , 92.9 , 37.1 ,4.3,4.4
5,4,Current,Current,75%,Current,Current,Yes, 173.6 , 57.6 , 30.8 ,19.6,20.8
5,4,Current,25%,None,Current,Current,Yes, 204.3 , 95.5 , 36.8 ,5.4,5.4
5,4,Current,25%,75%,Current,Current,Yes, 171.3 , 60.2 , 30.4 ,20.7,21.6
5,4,Improved,Current,None,Current,Current,Yes, 204.9 , 90.9 , 36.8 ,5.1,5.3
5,4,Improved,Current,75%,Current,Current,Yes, 171.7 , 55.6 , 30.4 ,20.5,21.7
5,4,Improved,25%,None,Current,Current,Yes, 202.4 , 93.5 , 36.4 ,6.3,6.3
5,4,Improved,25%,75%,Current,Current,Yes, 169.4 , 58.2 , 30.1 ,21.5,22.6
5,5.5,Current,Current,None,Current,Current,Yes, 203.1 , 88.9 , 36.4 ,6.0,6.2
5,5.5,Current,Current,75%,Current,Current,Yes, 169.7 , 53.6 , 30.0 ,21.4,22.7
5,5.5,Current,25%,None,Current,Current,Yes, 200.6 , 91.4 , 36.1 ,7.1,7.2
5,5.5,Current,25%,75%,Current,Current,Yes, 167.5 , 56.1 , 29.7 ,22.4,23.5
5,5.5,Improved,Current,None,Current,Current,Yes, 201.2 , 87.0 , 36.1 ,6.8,7.1
5,5.5,Improved,Current,75%,Current,Current,Yes, 167.8 , 51.6 , 29.7 ,22.3,23.6
5,5.5,Improved,25%,None,Current,Current,Yes, 198.7 , 89.4 , 35.7 ,8.0,8.1
5,5.5,Improved,25%,75%,Current,Current,Yes, 165.5 , 54.1 , 29.3 ,23.3,24.5
10,2.8,Current,Current,None,Current,Current,Yes, 208.8 , 95.3 , 37.5 ,3.3,3.4
10,2.8,Current,Current,75%,Current,Current,Yes, 175.8 , 59.9 , 31.2 ,18.6,19.7
10,2.8,Current,25%,None,Current,Current,Yes, 206.5 , 98.0 , 37.2 ,4.4,4.3
10,2.8,Current,25%,75%,Current,Current,Yes, 173.6 , 62.6 , 30.9 ,19.6,20.5
10,2.8,Improved,Current,None,Current,Current,Yes, 207.0 , 93.3 , 37.2 ,4.1,4.3
10,2.8,Improved,Current,75%,Current,Current,Yes, 173.9 , 58.0 , 30.8 ,19.5,20.6
10,2.8,Improved,25%,None,Current,Current,Yes, 204.6 , 96.0 , 36.8 ,5.2,5.2
10,2.8,Improved,25%,75%,Current,Current,Yes, 171.7 , 60.6 , 30.5 ,20.5,21.5
10,4,Current,Current,None,Current,Current,Yes, 201.5 , 87.3 , 36.1 ,6.7,7.0
10,4,Current,Current,75%,Current,Current,Yes, 168.1 , 52.0 , 29.7 ,22.2,23.5
10,4,Current,25%,None,Current,Current,Yes, 199.0 , 89.8 , 35.8 ,7.8,7.9
10,4,Current,25%,75%,Current,Current,Yes, 165.8 , 54.5 , 29.4 ,23.2,24.4
10,4,Improved,Current,None,Current,Current,Yes, 199.6 , 85.3 , 35.8 ,7.6,7.9
10,4,Improved,Current,75%,Current,Current,Yes, 166.1 , 50.0 , 29.4 ,23.1,24.4
10,4,Improved,25%,None,Current,Current,Yes, 197.1 , 87.8 , 35.4 ,8.7,8.9
10,4,Improved,25%,75%,Current,Current,Yes, 163.9 , 52.4 , 29.0 ,24.1,25.3
10,5.5,Current,Current,None,Current,Current,Yes, 197.9 , 83.4 , 35.4 ,8.4,8.8
10,5.5,Current,Current,75%,Current,Current,Yes, 164.2 , 48.0 , 29.0 ,24.0,25.4
10,5.5,Current,25%,None,Current,Current,Yes, 195.3 , 85.8 , 35.1 ,9.6,9.8
10,5.5,Current,25%,75%,Current,Current,Yes, 161.9 , 50.4 , 28.6 ,25.0,26.3
10,5.5,Improved,Current,None,Current,Current,Yes, 196.1 , 81.4 , 35.1 ,9.2,9.6
10,5.5,Improved,Current,75%,Current,Current,Yes, 162.3 , 46.1 , 28.6 ,24.8,26.3
10,5.5,Improved,25%,None,Current,Current,Yes, 193.4 , 83.7 , 34.7 ,10.4,10.7
10,5.5,Improved,25%,75%,Current,Current,Yes, 159.9 , 48.4 , 28.3 ,26.0,27.3
15,2.8,Current,Current,None,Current,Current,Yes, 207.0 , 93.4 , 37.2 ,4.1,4.3
15,2.8,Current,Current,75%,Current,Current,Yes, 173.9 , 58.0 , 30.8 ,19.5,20.6
15,2.8,Current,25%,None,Current,Current,Yes, 204.7 , 96.0 , 36.8 ,5.2,5.2
15,2.8,Current,25%,75%,Current,Current,Yes, 171.8 , 60.7 , 30.5 ,20.5,21.4
